ID,Prediction
1,6
2,6
3,5
4,2
5,7
6,0
7,0
8,3
9,3
10,2
11,2
12,6
13,2
14,9
15,8
16,3
17,8
18,8
19,9
20,2
21,1
22,7
23,6
24,7
25,8
26,3
27,4
28,0
29,2
30,3
31,0
32,5
33,5
34,3
35,8
36,3
37,5
38,0
39,6
40,6
41,8
42,7
43,4
44,8
45,8
46,9
47,4
48,6
49,8
50,8
51,4
52,0
53,9
54,2
55,2
56,3
57,8
58,1
59,4
60,4
61,6
62,9
63,6
64,0
65,8
66,4
67,2
68,8
69,5
70,6
71,3
72,5
73,4
74,8
75,2
76,5
77,8
78,8
79,8
80,2
81,8
82,6
83,3
84,8
85,3
86,0
87,7
88,3
89,1
90,0
91,8
92,2
93,4
94,6
95,4
96,8
97,6
98,0
99,9
100,8
101,2
102,8
103,0
104,7
105,2
106,8
107,8
108,2
109,4
110,9
111,8
112,8
113,9
114,5
115,4
116,2
117,0
118,1
119,4
120,6
121,8
122,3
123,1
124,0
125,7
126,7
127,1
128,2
129,0
130,0
131,8
132,1
133,2
134,4
135,3
136,4
137,5
138,9
139,0
140,0
141,0
142,5
143,3
144,1
145,7
146,8
147,0
148,1
149,8
150,2
151,9
152,6
153,3
154,3
155,3
156,6
157,1
158,5
159,2
160,3
161,2
162,9
163,5
164,8
165,3
166,8
167,0
168,1
169,1
170,3
171,0
172,3
173,9
174,6
175,0
176,2
177,8
178,8
179,0
180,3
181,6
182,5
183,3
184,3
185,8
186,7
187,6
188,1
189,9
190,8
191,5
192,3
193,0
194,8
195,2
196,8
197,3
198,8
199,8
200,2
201,2
202,4
203,8
204,3
205,6
206,8
207,2
208,7
209,7
210,0
211,5
212,7
213,0
214,7
215,0
216,6
217,5
218,7
219,0
220,4
221,4
222,1
223,0
224,2
225,3
226,8
227,0
228,6
229,1
230,6
231,1
232,0
233,4
234,8
235,4
236,4
237,8
238,1
239,9
240,0
241,6
242,3
243,3
244,1
245,4
246,8
247,4
248,4
249,0
250,4
251,8
252,6
253,7
254,6
255,9
256,8
257,1
258,7
259,8
260,3
261,8
262,1
263,8
264,9
265,7
266,3
267,7
268,3
269,7
270,5
271,2
272,2
273,2
274,5
275,1
276,8
277,0
278,3
279,1
280,6
281,4
282,9
283,8
284,7
285,4
286,0
287,8
288,0
289,0
290,4
291,8
292,6
293,6
294,8
295,1
296,0
297,3
298,2
299,9
300,3
301,2
302,0
303,5
304,8
305,0
306,8
307,6
308,9
309,9
310,4
311,1
312,2
313,1
314,5
315,5
316,6
317,1
318,6
319,6
320,8
321,8
322,4
323,8
324,0
325,8
326,0
327,7
328,5
329,8
330,7
331,0
332,0
333,4
334,2
335,9
336,3
337,3
338,3
339,4
340,6
341,4
342,2
343,8
344,0
345,3
346,9
347,3
348,7
349,5
350,8
351,2
352,3
353,2
354,2
355,4
356,6
357,9
358,8
359,8
360,9
361,2
362,3
363,9
364,4
365,0
366,4
367,0
368,2
369,6
370,5
371,0
372,4
373,7
374,9
375,0
376,1
377,9
378,4
379,8
380,6
381,1
382,5
383,5
384,8
385,9
386,0
387,8
388,8
389,8
390,0
391,7
392,4
393,3
394,1
395,4
396,0
397,1
398,2
399,5
400,9
401,6
402,2
403,2
404,2
405,7
406,0
407,1
408,7
409,5
410,3
411,5
412,5
413,9
414,2
415,7
416,9
417,3
418,4
419,0
420,3
421,4
422,0
423,6
424,9
425,6
426,1
427,7
428,8
429,7
430,7
431,4
432,1
433,6
434,7
435,3
436,4
437,8
438,2
439,3
440,3
441,9
442,5
443,8
444,3
445,6
446,4
447,8
448,8
449,7
450,6
451,3
452,6
453,6
454,1
455,5
456,8
457,7
458,7
459,8
460,2
461,8
462,3
463,4
464,4
465,8
466,8
467,4
468,2
469,8
470,8
471,5
472,0
473,8
474,2
475,3
476,8
477,0
478,6
479,0
480,8
481,2
482,2
483,7
484,5
485,6
486,5
487,3
488,8
489,9
490,1
491,8
492,5
493,2
494,0
495,5
496,8
497,7
498,0
499,8
500,4
501,6
502,8
503,8
504,4
505,8
506,2
507,8
508,6
509,8
510,5
511,4
512,4
513,8
514,9
515,8
516,6
517,9
518,6
519,1
520,9
521,0
522,7
523,3
524,5
